251.557	254.711	137	135.63	158
251.881	254.56	172	168.56	162
251.931	254.979	194	190.12	113
249.129	253.034	194	168.78	151
249.459	253.033	193	165.98	128
248.738	260.493	157	152.29	102
253.568	251.84	159	133.56	30
264.22	249.333	185	142.45	33
243.476	260.879	170	136	126
256.175	250.484	155	130.2	63
238.637	256.64	182	145.6	33
253.672	238.522	148	121.36	22
258.663	246.09	172	135.88	131
238.092	259.619	175	152.25	158
250.65	266.137	190	142.5	125
245.848	267.645	194	162.96	40
267.69	249.202	182	154.7	61
