261.228	247.659	193	191.07	158
260.114	246.996	173	171.27	21
258.613	245.228	152	147.44	168
258.12	243.931	195	169.65	111
254.558	243.751	142	133.48	3.00002
259.062	247.603	194	170.72	43
257.011	242.628	174	151.38	114
267.2	246.252	188	154.16	27
257.844	246.098	171	152.19	158
265.18	241.507	174	142.68	46
261.641	243.785	177	148.68	140
268.776	231.094	195	152.1	40
252.12	250.831	176	154.88	25
254.058	251.836	194	151.32	50
264.468	250.559	194	168.78	137
253.363	259.351	165	146.85	76
