245.064	302.566	59	43.07	173
247.645	306.525	67	49.58	172
119.965	147.074	52	47.84	105
119.881	146.952	46	37.26	114
116.902	148.535	52	42.12	108
109.563	138.161	36	29.16	113
121.714	143.645	49	36.75	112
259.776	135.181	107	72.76	117
109.807	141	38	26.22	114
118.269	146.35	51	41.31	89
117.81	146.28	54	38.88	134
112.6	141	38	27.36	129
110.222	151.014	49	29.89	113
246.556	306.631	62	50.84	12
278.201	297.262	94	38.54	159
110.205	143.614	37	27.38	114
113.85	144.882	53	34.98	120
109.672	141	36	28.8	132
281.273	286.255	96	45.12	151
