368.724	387.831	129	122.55	154
371.224	393.985	293	290.07	21
369.875	388.574	200	196	179
374.13	390.704	158	145.36	161
596.5	416.627	21	17.22	75
137.248	353.984	30	27.6	118
372.078	383.572	140	135.8	68
230.763	202.375	28	25.48	12
372.128	385.381	175	169.75	27
548.976	251.809	21	15.96	36
181.23	528.951	29	25.81	72
601.677	416.832	28	26.32	18
338.275	618.345	27	22.14	156
339.097	622.088	28	24.64	108
378.493	380.755	207	178.02	47
509.605	569.214	23	22.08	19
339.009	618.467	23	21.39	18
387.116	384.466	177	146.91	138
400.618	157.471	25	22.75	77
188	527.627	24	19.68	52
513.894	572.929	30	26.7	110
366.984	374.873	169	152.1	65
135.788	352.5	27	24.84	87
136.012	355.321	28	24.92	21
339.833	617.79	27	21.06	16
550.986	252.297	22	16.72	30
603.035	417.043	27	22.68	63
601.971	415.362	26	22.88	110
368.623	392.491	199	175.12	178
376.534	384.88	199	177.11	91
553.455	245.318	29	23.2	27
552.792	245.121	28	23.52	53
373.375	397.565	164	121.36	40
367.199	383.267	183	153.72	30
399.458	157.794	29	23.78	14
339.013	618.217	33	24.42	114
337.755	622.223	31	25.42	159
554.737	248.211	26	21.84	140
370.05	379.5	196	174.44	109
343.367	396.959	164	132.84	162
381.428	399.312	177	141.6	70
409.573	369.361	224	179.2	17
377.512	385.93	164	131.2	166
372.625	390.191	220	169.4	18
