391.519	256.444	94	83.66	179
664.891	88.5892	77	60.06	6.00001
290.819	405.562	80	67.2	164
186.689	264.047	88	72.16	167
195.587	88.2241	34	28.56	3.99996
465.279	409.533	67	60.3	163
883.427	96.9874	88	74.8	7
405.374	85.3462	36	27.72	173
630.535	261.904	42	36.54	1.99998
464.804	415.283	59	51.33	11
292.018	407.798	73	63.51	6.00001
193.662	89.3769	38	30.02	162
884.103	94.9677	83	67.23	15
131	422.069	49	45.57	164
928.056	257.5	57	44.46	6.00001
188.584	280.327	78	55.38	171
763.52	260.715	69	57.27	18
130.871	422.675	55	42.9	168
403.941	84.3102	30	24.6	170
763.71	262.351	70	66.5	3.00002
755.555	262.831	81	62.37	13
473.559	409.561	76	64.6	180
193.448	90.8889	28	20.16	163
190.103	267.919	77	69.3	166
460.555	414.921	61	51.85	166
461.415	410.975	78	55.38	10
628.864	257.825	40	33.6	146
469.78	410	78	56.16	180
