237.615	234.327	82	47.56	178
239.603	229.763	225	171	180
232.101	88.382	24	15.84	175
105.441	316.007	28	20.72	165
112.976	128	24	14.88	168
233.168	207.02	99	75.24	179
414.714	208.133	26	16.64	3.99996
248.457	226.981	98	56.84	176
234.77	201.5	130	92.3	180
415.077	210.825	26	17.94	13
244.812	209.545	108	76.68	175
235.888	199.521	120	82.8	175
212.591	220.635	112	77.28	20
232.092	223.581	93	61.38	22
223.833	205.333	111	89.91	1.00004
237.601	196.264	116	69.6	23
221.702	206.998	116	69.6	1.00004
