608.877	575.329	352	320.32	174
778.433	406.152	39	37.05	156
431.093	406.72	43	40.42	21
778.684	401.037	38	31.16	163
631.402	533.878	293	269.56	174
435.034	398.438	45	39.15	73
571.546	572.588	330	300.3	172
778.5	406	45	34.65	146
603.664	587.773	349	289.67	6.00001
613.495	570.499	312	293.28	1.99998
628.365	534.681	284	244.24	169
587.784	627.555	294	255.78	10
699.37	378.185	120	64.8	20
602.137	558.123	125	111.25	10
607.343	558.849	355	284	18
619.805	554.019	399	331.17	170
624.383	528.76	291	212.43	166
601.519	576.673	386	289.5	166
687.698	376.244	146	65.7	17
